,Merchant,Suburb,GPlace_Name,GPlace_Id,GAddr,GCat0,GCat1,GCat2
76,LITTLE INDIA  HARRIS HARRIS PARK NS AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
77,NETFLIXCOM MELBOURNE AU AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
79,UBER   TRIP 7GVI6,SYDNEY,Uber Sydney,ChIJd29oCNqkEmsRg4kMlo6oK-g,"19 Victoria Avenue, Concord West",UNCATEGORIZED,,
82,UBER   TRIP H72CA,SYDNEY,Uber Sydney,ChIJd29oCNqkEmsRg4kMlo6oK-g,"19 Victoria Avenue, Concord West",UNCATEGORIZED,,
84,DOLLAR KING AUSTRALQPS,BURWOOD,Dollar King,ChIJl5twL5WvEmsRe7uUn6YlJmg,"19 Roseby Street, Drummoyne",store,UNCATEGORIZED,
85,SUNSHINE 11 PTY LTD MARTIN PLACE NS AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
87,CHATKAZZ PTY LTD HARRIS PARK  AUS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
88,BUNNINGS 724000    QPS,GIRRAWEEN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
89,DIRECT DEBIT 401938 ORIGIN ELEC 052004131315,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
95,BEANS AND BALLS,SYDNEY,Beans & Balls,ChIJ594HCUCuEmsRsvHRk2LstEw,"19 Martin Place, Sydney",cafe,food,UNCATEGORIZED
99,DEFT RENT            NetBank BPAY 4481 26169508 1 9,GRAY,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
0,ULTIMO MINIMARKET QPS,ULTIMO,UNKNOWN,UNKNOWN,UNKNOWN,grocery_or_supermarket,UNCATEGORIZED,UNCATEGORIZED
1,COLES 08001,RANDWICK,Coles Supermarkets,ChIJlQwkwBiyEmsRufq_RSqQC68,Randwick,grocery_or_supermarket,food,store
2,COLES 0839,BROADWAY,Coles Supermarkets,ChIJk87o1SeuEmsRc2T1HToXOvc,"The Broadway Shopping Centre, Broadway St, Broadway",grocery_or_supermarket,food,store
3,UBER TRIP 67OVN,SYDNEY,Uber Sydney,ChIJd29oCNqkEmsRg4kMlo6oK-g,"19 Victoria Avenue, Concord West",UNCATEGORIZED,,
4,PUB LIFE KITCHEN,ULTIMO,Pub Life Kitchen,ChIJL_IsxWWLtAEROAmFzZiGzDE,"265 Bulwara Road, Ultimo",restaurant,food,UNCATEGORIZED
5,TELSTRA ACCESSORIES MELBOURNE 1410 AUD000000002520,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
6,LORD OF THE FRIES,HAYMARKET,Lord of the Fries,ChIJnbmZtiauEmsRexDdwv_Icco,"Henry Deane Plaza, 10a/18 Lee Street, Haymarket",meal_takeaway,restaurant,food
7,PATAGONIA AUSTRALIA,SYDNEY,Patagonia,ChIJ2WEEwA6rEmsRtgDgrlBWl_s,"24 Darley Road, Manly",clothing_store,store,UNCATEGORIZED
9,HFM BROADWAY,BROADWAY,Harris Farm Markets,ChIJR1uasCmuEmsR7acsrexLr20,"Broadway Shopping Centre, 1 Bay Street, Ultimo",grocery_or_supermarket,food,store
10,CALTEX RANDWICK,RANDWICK,Caltex,ChIJWf7_wvexEmsRXhuqSPVEMls,"2 Alison Road, Randwick",gas_station,UNCATEGORIZED,
11,AMAYSIM AUSTRALIA LIMI,SYDNEY,amaysim,ChIJX3Q-jEGuEmsRfzMIAZVa5JY,"6, 17-19 Bridge Street, Sydney",UNCATEGORIZED,,
12,Coogee Ground,COOGEE,McIver Baths,ChIJFblNXUCyEmsRMAqgEDo37OM,"145-149R Beach Street, Coogee",UNCATEGORIZED,,
13,LAILLTIMO CAFE N PIZZA,ULTIMO,La Illtimo Cafe & Pizzeria,ChIJXZurhC-uEmsRNmCZBfoC95k,"91 William Henry Street, Ultimo",restaurant,food,UNCATEGORIZED
14,Woolworths,HAYMARKET,Woolworths Haymarket,ChIJZ16jQCSuEmsRMSwlmuwPU08,"61/79 Quay Street, Haymarket",grocery_or_supermarket,food,store
15,IAN THORPE AQUATIC,ULTIMO,Ian Thorpe Aquatic Centre,ChIJa7KcXiWuEmsRGZ1-xgvdnY8,"Harris Street, Ultimo",gym,health,UNCATEGORIZED
16,MCDONALDS,DARLINGTON,McDonald's Roselands Shopping Centre,ChIJycwW8F-5EmsRLry579wAod0,"Roselands Shopping Centre, Roselands Drive, Roselands",meal_takeaway,restaurant,food
18,INTERNATIONAL TRANSACTION FEE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
19,INTERNATIONAL PYTHONANYWHERE 442072536372 1010 USD000000000500,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
20,Exchange Cafe,RANDWICK,Cafe Randwick,ChIJuXLk7yKyEmsRnKbV_NXfrxc,"37 Saint Pauls Street, Randwick",cafe,restaurant,food
21,Syd Aprt Intnl Carp50,SYDNEY,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
22,CONCIERGE CAR WASH,BROADWAY,Concierge Car Wash Westfield Parramatta,ChIJrQTtQiCjEmsRreFCMprP_IU,"159/175 Church Street, Parramatta",car_wash,UNCATEGORIZED,
23,RANDWICK PLAZA FRUIT,RANDWICK,Randwick Plaza Fruit Centre,ChIJ21LzIxuyEmsRcbHL3mLFrqQ,"128 Belmore Road, Randwick",food,store,UNCATEGORIZED
25,KMART 1155,BROADWAY,Kmart,ChIJEf7__9SvEmsRr1LEba-hRaE,"Bay Street, Broadway",department_store,shoe_store,book_store
26,WOLESLEY MGT PTY LTD,ULTIMO,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
31,GROUP TOGETHER,SYDNEY,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
32,PRICELINE BROADWAY,BROADWAY,Priceline Broadway,ChIJjyFXfyiuEmsRo_h0OvcKK_0,"Broadway Shopping Centre, 322-323/1 Bay Street, Broadway",store,UNCATEGORIZED,
33,FRIENDLY GROCER PYRM,PYRMONT,Friendly Grocer Pyrmont,ChIJIY1bVDCuEmsRh4q6sJYvEXU,"261 Harris Street, Pyrmont",grocery_or_supermarket,food,store
34,UNICAFE,KENSINGTON,Uniside Cafe,ChIJK4XhH4yxEmsRIzDXSZC84zA,"235 Anzac Parade, Kensington",cafe,food,UNCATEGORIZED
36,BRONE SURF LIFE SAVING,BRONTE,Bronte Surf Life Saving Club,ChIJP3kpEIitEmsRA_yU7n11PEg,"Bronte Beach, Bronte Road, Bronte",gym,bar,health
38,Sonoma Cafe Bondi,BONDI BEACH,Sonoma Cafe Bondi,ChIJ_UHCsZ6tEmsRQrd9axTHYUQ,"r10/178 Campbell Parade, Bondi Beach",cafe,food,UNCATEGORIZED
40,Club Sushi,PYRMONT,Sushi Club,ChIJY3WrSDCuEmsRzkv3yj6VzVc,"313 Harris Street, Sydney",meal_takeaway,restaurant,food
41,SPOTLIGHT 030,DRUMMOYNE,Spotlight Birkenhead Pt,ChIJfdhvJZWvEmsRbAOthBUSpfI,"Roseby Street, Drummoyne",furniture_store,home_goods_store,store
43,EBANKING TRANSFER 0132269686 0034046540V501,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
44,EBANKING TRANSFER 0132269657 0024701161V501,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
45,BROWN JERSEY BIKES,ULTIMO,Brown Jersey Ultimo,ChIJQ_OStyiuEmsR_ELe-4NR0rg,"478 Wattle Street, Ultimo",bicycle_store,store,UNCATEGORIZED
46,CLEAN EXPRESS LAUNDE,ULTIMO,Clean Express Laundrette and Dry Cleaners,ChIJMURTCi-uEmsRmrImhAAc-yA,"94/69-81 William Henry Street, Ultimo",laundry,UNCATEGORIZED,
47,COLES EXPRESS 1698,ULTIMO,Coles Express,ChIJ1dZqySiuEmsRXYAxQowoito,"387-427 Wattle Street, Ultimo",convenience_store,gas_station,food
49,INTERNATIONAL FS DISCOURSEHOST 8773278914 0510 USD000000022000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
52,SPOTLESS FACILITY SE,MOSMAN,Spotless,ChIJsQUOfZ6lEmsRncQSAFNL99k,"5/476 Victoria Road, Gladesville",laundry,food,UNCATEGORIZED
53,INTERNATIONAL GOOGLE PIXELBITGCOHELPPAY 0410 AUD000000000169,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
54,Woolworths,SYDNEY,Woolworths Town Hall,ChIJo8ZIgT6uEmsRYhbUtXBWzhg,"Park Street & George Street, Sydney",grocery_or_supermarket,food,store
55,ABATTOIR BLUES,SYDNEY,Abattoir Blues,ChIJUxuTbrakEmsRus2gO3lOd-c,"Building C/1 Herb Elliott Avenue, Sydney Olympic Park",restaurant,cafe,bar
56,,AREYONGA,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
57,HARRIS FARM MARKETS,RANDWICK,Harris Farm Markets Randwick,ChIJ-f7lHxmyEmsR01fRBJvIdyY,"11/73-109 Belmore Road, Randwick",grocery_or_supermarket,food,store
59,CITYOFSYDNEY PARKING,SYDNEY,Domain Car Park,ChIJP7cfxBSuEmsR1PdgphdqFxs,"Saint Marys Road, Sydney",parking,UNCATEGORIZED,
60,INTERNATIONAL AMAZON WEB SERV1AWSAMAZONCO 0210 AUD000000001943,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
61,QUARRY ST CAFE,ULTIMO,Quarry St Cafe,ChIJoYjn6C-uEmsRDmx25IkZIfM,"101 Quarry Street, Ultimo",cafe,food,UNCATEGORIZED
62,MCDONALDS KELLYVIL1KELLYVILLE 2909 AUD000000003050,UNKNOWN,McDonald's Kellyville,ChIJz89dGuyhEmsRWaUvXb5D1AE,"658 Windsor Road, Kellyville",meal_takeaway,restaurant,food
63,WOOLWORTHS 1631,RANDWICK,Woolworths Randwick,ChIJ90DR4RiyEmsR3e1vSHXdgug,"73 Belmore Road, Randwick",grocery_or_supermarket,food,store
64,WOOLWORTHS 1905,BROADWAY,Woolworths Central Park,ChIJ1T38sSeuEmsRJm47QGX6GA8,"26-60 Broadway, Chippendale",grocery_or_supermarket,food,store
65,TPG Internet PTY LT,NORTH RYDE,TPG Telecom,ChIJ6zDIWD5d1moRfHBO3nzf7c8,"65 Waterloo Road, North Ryde",UNCATEGORIZED,,
66,CREDIT TRANSFER 0131855575 00247011616601,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
68,POWERSHOP AUSTRALIA MELBOURNE 2909 AUD000000003481,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
69,COFFEE ON CAMPUS,KINGSFORD,Coffee On Campus,ChIJ40SFUYqxEmsRDDt0GCDMfhs,Kensington,cafe,food,UNCATEGORIZED
72,KENNARDS SELF STORAGE,ULTIMO,Kennards Self Storage Ultimo,ChIJF1Tipi-uEmsRZFMK7py5VA8,"444 Jones Street, Ultimo",storage,UNCATEGORIZED,
73,PAYPAL MENULOGPTYL4029357733 2809 AUD000000010000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
74,ALDI STORES,BROADWAY,ALDI Broadway,ChIJXT5kmCmuEmsRqEhdB4Br0Pw,1 Broadway,liquor_store,grocery_or_supermarket,food
75,CITY OF SYDNEY OBG,SYDNEY,City of Sydney,ChIJVZXougWuEmsREfSrISYHLNE,"247 Oxford Street, Paddington",local_government_office,UNCATEGORIZED,
79,INTERNATIONAL SP  SHAMMA SANDALS8312391823 2709 USD000000016600,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
80,TROPICAL GREEN,KENSINGTON,Tropical Green,ChIJ1bitbSCyEmsReFMPUPDhp7c,"Pavilions Building, Kensington",restaurant,food,UNCATEGORIZED
81,The Greens NSW Inc,GLEBE,The Greens NSW,ChIJIcQFwUqwEmsRnT7E89OmxVA,"D/275 Broadway, Glebe",UNCATEGORIZED,,
83,TASTE BAGUETTE DARLN,SYDNEY,Taste Baguette & Grill,ChIJ7RmdoDuuEmsRjxir7hQSJmY,"Shop 11-12/1-25 Harbour Street, Sydney",cafe,food,UNCATEGORIZED
87,TAXI COMBINED 13330,ALEXANDRIA,Taxis Combined,ChIJ1zC5d7ixEmsRqRcqJmrNn_E,Alexandria,UNCATEGORIZED,,
88,JOHNNYS FRESH PL,PYRMONT,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
89,CARRINGTON 565 PT2,SURRY HILLS,The Carrington,ChIJu6vKxaeMtAER5XhsUNdSBh4,"565 Bourke Street, Surry Hills",bar,restaurant,food
90,WOOLWORTHS 1248,SYDNEY,Woolworths Town Hall,ChIJo8ZIgT6uEmsRYhbUtXBWzhg,"Park Street & George Street, Sydney",grocery_or_supermarket,food,store
93,MYREPUBLIC BROADBAN,ALEXANDRIA,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
95,INTERNATIONAL DAVID ROBINSON 6502043486 2509 USD000000000500,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
96,SUSHIROLL UNSW PL,KENSINGTON,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
98,GRADUEAT,KENSINGTON,Gradueat,ChIJ3yBeEiCyEmsR3Z_qiVlVJW0,Kensington,restaurant,food,UNCATEGORIZED
0,7ELEVEN 2180,ASHFIELD,7-Eleven Ashfield,ChIJh1PJ7Je6EmsRkjLrU9_iUZI,"132 Hume Highway, Ashfield",grocery_or_supermarket,atm,bakery
1,BUNNINGS 572000 PENRITH,UNKNOWN,Bunnings Penrith,ChIJWS2qccqIEmsRy3D4LMJIzm8,"2745 Wolseley Street, Jamisontown",hardware_store,furniture_store,home_goods_store
2,COLES EXPRESS 1557 MINTO,UNKNOWN,COLES EXPRESS MINTO,ChIJezs0bA3sEmsRAyH3R0kh7_o,"Pembroke Road, Minto",gas_station,UNCATEGORIZED,
3,PATEL CONVENIENCE ST,ASHFIELD,Patel grocery store,ChIJ-yQFhb26EmsRIzVuaRPIMTA,"55/1 Brown Street, Ashfield",grocery_or_supermarket,food,store
4,ADRIANO ZUMBO PATISS,SYDNEY,Adriano Zumbo Patissier,ChIJoz1Jd3OyEmsR0uN29ta55Qo,"24 Arden Street, Waverley",bakery,cafe,food
5,DAVID TRACY INVESTMENT,SYDNEY,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
6,TOP JUICE MLC CENTRE,SYDNEY,Top Juice,ChIJy9fa3TyuEmsRCvBVWrF52AI,"World Square Shopping Centre, Lower Ground, Shop 9.K7, 680 George St, Sydney",food,UNCATEGORIZED,
8,IGNACIO AUST PTY LTD,ASHFIELD,Ashfields of Fruit,ChIJezZya5a6EmsRw_V-3b8BOJI,"260A Liverpool Road, Ashfield",grocery_or_supermarket,food,store
9,TRANSPORT FOR NSWOPAL,CHIPPENDALE,Transport for NSW,ChIJg_ZH16QZE2sR_5jiNkeDLT4,"18 Lee Street, Chippendale",local_government_office,UNCATEGORIZED,
10,CHOCOLAT AT THE QUAY,SYDNEY,Guylian,ChIJ42AxcF1iDWsRGEoAvnXhGrs,"Opera Quays, 10/3 Macquarie Street, Sydney",cafe,food,UNCATEGORIZED
11,FOREVER TWENTY ONE,BANKSTOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
12,HOMEBUSH HALAL MEATS,ASHFIELD,Homebush Halal Meats,ChIJTSLTob26EmsRSDpV7nMz1nY,"8 Charlotte Street, Ashfield",food,store,UNCATEGORIZED
13,COLES 0791,ASHFIELD,Coles Supermarkets,ChIJezZya5a6EmsROFbcSjExGqc,"Liverpool Rd & Knox St, Ashfield Mall, Ashfield",grocery_or_supermarket,food,store
14,Pablo  Rustys 161,NORTH RYDE,Pablo & Rusty's Coffee Roasters,ChIJlQzbPT6uEmsRdMutKU9hWds,"161 Castlereagh Street, Sydney",cafe,food,store
15,HJ CIRCULAR QUAY CIRCULAR QUAY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED
17,THE BODY SHOP SYDNEY,SYDNEY,The Body Shop,ChIJiVwrjT6uEmsReupgeNgrz-U,"65/455 George Street, Sydney",store,UNCATEGORIZED,
18,AD S KITCHEN,ASHFIELD,AD's Kitchen,ChIJ6W9OLJW6EmsRIcfW9wfmJbY,"437 Liverpool Road, Ashfield",restaurant,food,UNCATEGORIZED
20,ALLANS BILLY HYDE,SYDNEY,Allans Billy Hyde,ChIJwRplRj6uEmsRU1ocaIVI0rY,"228 Pitt Street, Sydney",store,UNCATEGORIZED,
22,Nutorious,SYDNEY,Nutorious,ChIJO6MT8j6uEmsR-862uZoZlqs,"455 George Street, Sydney",food,store,UNCATEGORIZED
23,BUNNINGS 595000,ASHFIELD,Bunnings Ashfield,ChIJQwsKz6-6EmsRtbFMGVpbJ14,"Cnr Parramatta Rd & Frederick St, Parramatta Road, Ashfield",hardware_store,furniture_store,home_goods_store
