postcode,suburb,state,latitude,longitude
822,Annie River,NT,-12.8,131.13
822,Bathurst Island,NT,-12.8,131.13
822,Bees Creek,NT,-12.8,131.13
822,Belyuen,NT,-12.8,131.13
822,Black Jungle,NT,-12.8,131.13
822,Blackmore,NT,-12.8,131.13
822,Border Store,NT,-12.8,131.13
822,Burrundie,NT,-12.8,131.13
822,Bynoe,NT,-12.8,131.13
822,Bynoe Harbour,NT,-12.8,131.13
822,Camp Creek,NT,-12.8,131.13
822,Channel Island,NT,-12.8,131.13
822,Charles Darwin,NT,-12.8,131.13
822,Charlotte,NT,-12.8,131.13
822,Claravale,NT,-12.8,131.13
822,Cobourg,NT,-12.8,131.13
822,Collett Creek,NT,-12.8,131.13
822,Coomalie Creek,NT,-12.8,131.13
822,Cox Peninsula,NT,-12.8,131.13
822,Croker Island,NT,-12.8,131.13
822,Daly,NT,-12.8,131.13
822,Daly River,NT,-12.8,131.13
822,Darwin MC,NT,-12.8,131.13
822,Darwin River Dam,NT,-12.8,131.13
822,Delissaville,NT,-12.8,131.13
822,Douglas-Daly,NT,-12.8,131.13
822,East Arm,NT,-12.8,131.13
822,East Arnhem,NT,-12.8,131.13
822,Elrundie,NT,-12.8,131.13
822,Eva Valley,NT,-12.8,131.13
822,Finniss Valley,NT,-12.8,131.13
822,Fleming,NT,-12.8,131.13
822,Fly Creek,NT,-12.8,131.13
822,Freds Pass,NT,-12.8,131.13
822,Galiwinku,NT,-12.8,131.13
822,Glyde Point,NT,-12.8,131.13
822,Goulburn Island,NT,-12.8,131.13
822,Gunbalanya,NT,-12.8,131.13
822,Gunn Point,NT,-12.8,131.13
822,Hayes Creek,NT,-12.8,131.13
822,Hidden Valley,NT,-12.8,131.13
822,Hotham,NT,-12.8,131.13
822,Hughes,NT,-12.8,131.13
822,Kakadu,NT,-12.8,131.13
822,Koolpinyah,NT,-12.8,131.13
822,Lake Bennett,NT,-12.8,131.13
822,Lambells Lagoon,NT,-12.8,131.13
822,Litchfield Park,NT,-12.8,131.13
822,Livingstone,NT,-12.8,131.13
822,Lloyd Creek,NT,-12.8,131.13
822,Mandorah,NT,-12.8,131.13
822,Maningrida,NT,-12.8,131.13
822,Maranunga,NT,-12.8,131.13
822,Margaret River,NT,-12.8,131.13
822,Marrakai,NT,-12.8,131.13
822,Mcminns Lagoon,NT,-12.8,131.13
822,Mickett Creek,NT,-12.8,131.13
822,Middle Point,NT,-12.8,131.13
822,Milikapiti,NT,-12.8,131.13
822,Milingimbi,NT,-12.8,131.13
822,Millwood,NT,-12.8,131.13
822,Milyakburra,NT,-12.8,131.13
822,Minjilang,NT,-12.8,131.13
822,Mount Bundey,NT,-12.8,131.13
822,Murrumujuk,NT,-12.8,131.13
822,Nauiyu,NT,-12.8,131.13
822,Nemarluk,NT,-12.8,131.13
822,Nganmarriyanga,NT,-12.8,131.13
822,Nguiu,NT,-12.8,131.13
822,Numbulwar,NT,-12.8,131.13
822,Numburindi,NT,-12.8,131.13
822,Oenpelli,NT,-12.8,131.13
822,Palumpa,NT,-12.8,131.13
822,Peppimenarti,NT,-12.8,131.13
822,Pirlangimpi,NT,-12.8,131.13
822,Point Stephens,NT,-12.8,131.13
822,Point Stuart,NT,-12.8,131.13
822,Pularumpi,NT,-12.8,131.13
822,Rakula,NT,-12.8,131.13
822,Ramingining,NT,-12.8,131.13
822,Robin Falls,NT,-12.8,131.13
822,Rum Jungle,NT,-12.8,131.13
822,Sandpalms Roadhouse,NT,-12.8,131.13
822,Southport,NT,-12.8,131.13
822,Stapleton,NT,-12.8,131.13
822,Thamarrurr,NT,-12.8,131.13
822,Tipperary,NT,-12.8,131.13
822,Tivendale,NT,-12.8,131.13
822,Tiwi Islands,NT,-12.8,131.13
822,Tortilla Flats,NT,-12.8,131.13
822,Tumbling Waters,NT,-12.8,131.13
822,Umbakumba,NT,-12.8,131.13
822,Vernon Islands,NT,-12.8,131.13
822,Wadeye,NT,-12.8,131.13
822,Wagait Beach,NT,-12.8,131.13
822,Wak Wak,NT,-12.8,131.13
822,Warruwi,NT,-12.8,131.13
822,Weddell,NT,-12.8,131.13
822,West Arnhem,NT,-12.8,131.13
822,Wickham,NT,-12.8,131.13
822,Winnellie,NT,-12.8,131.13
822,Wishart,NT,-12.8,131.13
822,Woolaning,NT,-12.8,131.13
828,Berrimah,NT,-12.47,130.91
828,Knuckey Lagoon,NT,-12.47,130.91
829,Holtze,NT,-14.46,132.28
829,Pinelands,NT,-14.46,132.28
830,Archer,NT,-12.49,130.97
830,Driver,NT,-12.49,130.97
830,Durack,NT,-12.49,130.97
830,Farrar,NT,-12.49,130.97
830,Gray,NT,-12.49,130.97
830,Marlow Lagoon,NT,-12.49,130.97
830,Moulden,NT,-12.49,130.97
830,Palmerston,NT,-12.49,130.97
830,Shoal Bay,NT,-12.49,130.97
830,Woodroffe,NT,-12.49,130.97
830,Yarrawonga,NT,-12.49,130.97
831,Palmerston,NT,-12.48,130.98
832,Bakewell,NT,-12.49,130.99
832,Bellamack,NT,-12.49,130.99
832,Gunn,NT,-12.49,130.99
832,Johnston,NT,-12.49,130.99
832,Mitchell,NT,-12.49,130.99
832,Rosebery,NT,-12.49,130.99
832,Rosebery Heights,NT,-12.49,130.99
832,Zuccoli,NT,-12.49,130.99
835,Coolalinga,NT,-12.48,131.03
835,Howard Springs,NT,-12.48,131.03
835,Virginia,NT,-12.48,131.03
836,Girraween,NT,-12.53,131.1
836,Herbert,NT,-12.53,131.1
836,Humpty Doo,NT,-12.53,131.1
837,Manton,NT,-12.46,130.84
837,Noonamah,NT,-12.46,130.84
838,Berry Springs,NT,-12.71,131
840,Dundee Beach,NT,-12.72,130.35
840,Dundee Downs,NT,-12.72,130.35
840,Dundee Forest,NT,-12.72,130.35
841,Darwin River,NT,-12.8,130.96
845,Batchelor,NT,-13.04,131.07
846,Adelaide River,NT,-13.23,131.1
847,Pine Creek,NT,-13.82,131.84
850,Cossack,NT,-14.46,132.26
850,Emungalan,NT,-14.46,132.26
850,Katherine,NT,-14.46,132.26
850,Katherine East,NT,-14.46,132.26
850,Katherine South,NT,-14.46,132.26
850,Lansdowne,NT,-14.46,132.26
851,Katherine,NT,-14.46,132.26
852,Arnold,NT,-14.92,133.06
852,Baines,NT,-14.92,133.06
852,Barunga,NT,-14.92,133.06
852,Beswick,NT,-14.92,133.06
852,Beswick Creek,NT,-14.92,133.06
852,Binjari,NT,-14.92,133.06
852,Birdum,NT,-14.92,133.06
852,Bradshaw,NT,-14.92,133.06
852,Buchanan,NT,-14.92,133.06
852,Bulman Weemol,NT,-14.92,133.06
852,Creswell,NT,-14.92,133.06
852,Daguragu,NT,-14.92,133.06
852,Daly Waters,NT,-14.92,133.06
852,Delamere,NT,-14.92,133.06
852,Dunmarra,NT,-14.92,133.06
852,Edith,NT,-14.92,133.06
852,Elsey,NT,-14.92,133.06
852,Elsey Station,NT,-14.92,133.06
852,Florina,NT,-14.92,133.06
852,Flying Fox,NT,-14.92,133.06
852,Gregory,NT,-14.92,133.06
852,Gulung Mardrulk,NT,-14.92,133.06
852,Gurindji,NT,-14.92,133.06
852,Jilkminggan,NT,-14.92,133.06
852,Kalkarindji,NT,-14.92,133.06
852,Katherine,NT,-14.92,133.06
852,Lajamanu,NT,-14.92,133.06
852,Larrimah,NT,-14.92,133.06
852,Limmen,NT,-14.92,133.06
852,Manbulloo,NT,-14.92,133.06
852,Maranboy,NT,-14.92,133.06
852,Mataranka,NT,-14.92,133.06
852,Mcarthur,NT,-14.92,133.06
852,Miniyeri,NT,-14.92,133.06
852,Ngukurr,NT,-14.92,133.06
852,Nitmiluk,NT,-14.92,133.06
852,Pellew Islands,NT,-14.92,133.06
852,Pigeon Hole,NT,-14.92,133.06
852,Robinson River,NT,-14.92,133.06
852,Sturt Plateau,NT,-14.92,133.06
852,Tanami East,NT,-14.92,133.06
852,Timber Creek,NT,-14.92,133.06
852,Top Springs,NT,-14.92,133.06
852,Uralla,NT,-14.92,133.06
852,Venn,NT,-14.92,133.06
852,Victoria River,NT,-14.92,133.06
852,Victoria River Downs,NT,-14.92,133.06
852,Warumungu,NT,-14.92,133.06
852,Wave Hill,NT,-14.92,133.06
852,Wilton,NT,-14.92,133.06
852,Yarralin,NT,-14.92,133.06
853,Tindal,NT,0,0
854,Borroloola,NT,-16.82,137.15
854,King Ash Bay,NT,-16.82,137.15
860,Tennant Creek,NT,-19.65,134.19
861,Brunchilly,NT,-18.94,134.32
861,Tennant Creek,NT,-18.94,134.32
862,Avon Downs,NT,-20.23,137.76
862,Calvert,NT,-20.23,137.76
862,Cresswell Downs,NT,-20.23,137.76
862,Elliott,NT,-20.23,137.76
862,Helen Springs,NT,-20.23,137.76
862,Muckaty Station,NT,-20.23,137.76
862,Newcastle Waters,NT,-20.23,137.76
862,Nicholson,NT,-20.23,137.76
862,Pamayu,NT,-20.23,137.76
862,Phillip Creek Station,NT,-20.23,137.76
862,Renner Springs,NT,-20.23,137.76
862,Tablelands,NT,-20.23,137.76
862,Tennant Creek,NT,-20.23,137.76
862,Three Ways,NT,-20.23,137.76
862,Warrego,NT,-20.23,137.76
862,Wollogorang Station,NT,-20.23,137.76
862,Wycliffe Well,NT,-20.23,137.76
870,Alice Springs,NT,-12.44,130.84
870,Araluen,NT,-12.44,130.84
870,Arumbera,NT,-12.44,130.84
870,Braitling,NT,-12.44,130.84
870,Ciccone,NT,-12.44,130.84
870,Connellan,NT,-12.44,130.84
870,Desert Springs,NT,-12.44,130.84
870,East Side,NT,-12.44,130.84
870,Flynn,NT,-12.44,130.84
870,Gillen,NT,-12.44,130.84
870,Ilparpa,NT,-12.44,130.84
870,Irlpme,NT,-12.44,130.84
870,Larapinta,NT,-12.44,130.84
870,Mount Johns,NT,-12.44,130.84
870,Ross,NT,-12.44,130.84
870,Sadadeen,NT,-12.44,130.84
870,Stuart,NT,-12.44,130.84
870,The Gap,NT,-12.44,130.84
870,Undoolya,NT,-12.44,130.84
870,White Gums,NT,-12.44,130.84
871,Alice Springs,NT,-12.44,130.84
872,Aherrenge,NT,-21,134.38
872,Ali Curung,NT,-21,134.38
872,Alice Springs,NT,-21,134.38
872,Amata,NT,-21,134.38
872,Amoonguna,NT,-21,134.38
872,Ampilatwatja,NT,-21,134.38
872,Anatye,NT,-21,134.38
872,Anmatjere,NT,-21,134.38
872,Antewenegerrde,NT,-21,134.38
872,Areyonga,NT,-21,134.38
872,Atitjere,NT,-21,134.38
872,Ayers Rock,NT,-21,134.38
872,Barrow Creek,NT,-21,134.38
872,Burt Plain,NT,-21,134.38
872,Canteen Creek,NT,-21,134.38
872,Chilla Well,NT,-21,134.38
872,Costello,NT,-21,134.38
872,Davenport,NT,-21,134.38
872,Docker River,NT,-21,134.38
872,Engawala,NT,-21,134.38
872,Erldunda,NT,-21,134.38
872,Ernabella,SA,-21,134.38
872,Finke,NT,-21,134.38
872,Fregon,SA,-21,134.38
872,Ghan,NT,-21,134.38
872,Gibson Desert North,WA,-21,134.38
872,Gibson Desert South,WA,-21,134.38
872,Haasts Bluff,NT,-21,134.38
872,Hale,NT,-21,134.38
872,Hart,NT,-21,134.38
872,Hart Range,NT,-21,134.38
872,Hermannsburg,NT,-21,134.38
872,Hugh,NT,-21,134.38
872,Imanpa,NT,-21,134.38
872,Indulkana,SA,-21,134.38
872,Ininti Store,NT,-21,134.38
872,Jay Creek,NT,-21,134.38
872,Kaltukatjara,NT,-21,134.38
872,Kintore,NT,-21,134.38
872,Kiwirrkurra,NT,-21,134.38
872,Kulgera,NT,-21,134.38
872,Kunparrka,NT,-21,134.38
872,Lake Mackay,NT,-21,134.38
872,Laramba,NT,-21,134.38
872,Mereenie,NT,-21,134.38
872,Mimili,SA,-21,134.38
872,Mount Liebig,NT,-21,134.38
872,Mount Zeil,NT,-21,134.38
872,Mulga Bore,NT,-21,134.38
872,Murputja Homelands,NT,-21,134.38
872,Mutitjulu,NT,-21,134.38
872,Namatjira,NT,-21,134.38
872,Ngaanyatjarra-Giles,WA,-21,134.38
872,Nyapari,NT,-21,134.38
872,Nyirripi,NT,-21,134.38
872,Papunya,NT,-21,134.38
872,Patjarr,NT,-21,134.38
872,Petermann,NT,-21,134.38
872,Pitjantjatjara Homelands,NT,-21,134.38
872,Sandover,NT,-21,134.38
872,Santa Teresa,NT,-21,134.38
872,Simpson,NT,-21,134.38
872,Tanami,NT,-21,134.38
872,Tara,NT,-21,134.38
872,Thangkenharenge,NT,-21,134.38
872,Ti Tree,NT,-21,134.38
872,Titjikala,NT,-21,134.38
872,Tjirrkarli,NT,-21,134.38
872,Tjukurla,NT,-21,134.38
872,Uluru,NT,-21,134.38
872,Umpangara,NT,-21,134.38
872,Urapuntja,NT,-21,134.38
872,Wallace Rockhole,NT,-21,134.38
872,Wanarn,NT,-21,134.38
872,Willowra,NT,-21,134.38
872,Wilora,NT,-21,134.38
872,Wingellina,NT,-21,134.38
872,Wutunugurra,NT,-21,134.38
872,Yuelamu,NT,-21,134.38
872,Yuendumu,NT,-21,134.38
872,Yulara,NT,-21,134.38
880,Gapuwiyak,NT,-12.38,130.87
880,Gove,NT,-12.38,130.87
880,Gunyangara,NT,-12.38,130.87
880,Nhulunbuy,NT,-12.38,130.87
880,Yirrkala,NT,-12.38,130.87
881,Nhulunbuy,NT,-12.18,136.78
885,Alyangula,NT,0,0
886,Jabiru,NT,-12.38,130.89
906,Winnellie,NT,-12.43,130.88
907,Winnellie,NT,-12.43,130.88
909,Charles Darwin University,NT,0,0
1001,Sydney,NSW,-33.79,151.27
1002,Sydney,NSW,-33.79,151.27
1003,Sydney,NSW,-33.79,151.27
1004,Sydney,NSW,-33.79,151.27
1005,Sydney,NSW,-33.79,151.27
1006,Sydney,NSW,-33.79,151.27
1007,Sydney,NSW,-33.79,151.27
1008,Sydney,NSW,-33.79,151.27
1009,Sydney,NSW,-33.79,151.27
1010,Sydney,NSW,-33.79,151.27
1011,Sydney,NSW,-33.79,151.27
1020,Sydney,NSW,-33.79,151.27
1021,Sydney,NSW,-33.79,151.27
1022,Sydney,NSW,-33.79,151.27
1023,Sydney,NSW,-33.79,151.27
1025,Sydney,NSW,-33.79,151.27
1026,Sydney,NSW,-33.79,151.27
1027,Sydney,NSW,-33.79,151.27
1028,Sydney,NSW,-33.79,151.27
1029,Sydney,NSW,-33.79,151.27
1030,Sydney,NSW,-33.79,151.27
1031,Sydney,NSW,-33.79,151.27
1032,Sydney,NSW,-33.66,150.87
1033,Sydney,NSW,-33.79,151.27
1034,Sydney,NSW,-33.79,151.27
1035,Sydney,NSW,-33.79,151.27
1036,Sydney,NSW,-33.79,151.27
1037,Sydney,NSW,-33.79,151.27
1038,Sydney,NSW,-33.79,151.27
1039,Sydney,NSW,-33.79,151.27
1040,Sydney,NSW,-33.79,151.27
1041,Sydney,NSW,-33.79,151.27
1042,Sydney,NSW,-33.79,151.27
1043,Sydney,NSW,-33.79,151.27
1044,Sydney,NSW,-33.79,151.27
1045,Sydney,NSW,-33.79,151.27
1046,Sydney,NSW,-33.79,151.27
1100,Sydney,NSW,-33.79,151.27
1101,Sydney,NSW,-33.79,151.27
1105,Sydney,NSW,-33.79,151.27
1106,Sydney,NSW,-33.79,151.27
1107,Sydney,NSW,-33.79,151.27
1108,Sydney,NSW,-33.79,151.27
1109,Sydney,NSW,-33.79,151.27
1110,Sydney,NSW,-33.79,151.27
1112,Sydney,NSW,-33.79,151.27
1113,Sydney,NSW,-33.79,151.27
1114,Sydney,NSW,-33.79,151.27
1115,Sydney,NSW,-33.79,151.27
1116,Sydney,NSW,-33.67,150.87
1117,Sydney,NSW,-33.66,150.87
1118,Sydney,NSW,-33.79,151.27
1119,Sydney,NSW,-33.79,151.27
1120,Sydney,NSW,-33.79,151.27
1121,Sydney,NSW,-33.79,151.27
1122,Sydney,NSW,-33.79,151.27
1123,Sydney,NSW,-33.79,151.27
1124,Sydney,NSW,-33.79,151.27
1125,Sydney,NSW,-33.79,151.27
1126,Sydney,NSW,-33.79,151.27
1127,Sydney,NSW,-33.79,151.27
1128,Sydney,NSW,-33.79,151.27
1129,Sydney,NSW,-33.79,151.27
1130,Sydney,NSW,-33.79,151.27
1131,Sydney,NSW,-33.79,151.27
1132,Sydney,NSW,-33.66,150.87
1133,Sydney,NSW,-33.79,151.27
1134,Sydney,NSW,-33.79,151.27
1135,Sydney,NSW,-33.79,151.27
1136,Sydney,NSW,-33.79,151.27
1137,Sydney,NSW,-33.79,151.27
1138,Sydney,NSW,-33.79,151.27
1139,Sydney,NSW,-33.79,151.27
1140,Sydney,NSW,-33.79,151.27
1141,Sydney,NSW,-33.79,151.27
1142,Sydney,NSW,-33.79,151.27
1143,Sydney,NSW,-33.79,151.27
1144,Sydney,NSW,-33.79,151.27
1145,Sydney,NSW,-33.79,151.27
1146,Sydney,NSW,-33.79,151.27
1147,Sydney,NSW,-33.79,151.27
1148,Sydney,NSW,-33.79,151.27
1149,Sydney,NSW,-33.79,151.27
1150,Sydney,NSW,-33.79,151.27
1151,Sydney,NSW,-33.79,151.27
1152,Sydney,NSW,-33.79,151.27
1153,Sydney,NSW,-33.79,151.27
1154,Sydney,NSW,-33.79,151.27
1155,Sydney,NSW,-33.79,151.27
1156,Sydney,NSW,-33.79,151.27
1157,Sydney,NSW,-33.79,151.27
1158,Sydney,NSW,-33.79,151.27
1159,Sydney,NSW,-33.79,151.27
1160,Sydney,NSW,-33.79,151.27
1161,Sydney,NSW,-33.79,151.27
1162,Sydney,NSW,-33.79,151.27
1163,Sydney,NSW,-33.79,151.27
1164,Sydney,NSW,-33.79,151.27
1165,Sydney,NSW,-33.79,151.27
1166,Sydney,NSW,-33.79,151.27
1167,Sydney,NSW,-33.79,151.27
1168,Sydney,NSW,-33.79,151.27
1169,Sydney,NSW,-33.79,151.27
1170,Sydney,NSW,-33.79,151.27
1171,Sydney,NSW,-33.79,151.27
1172,Sydney,NSW,-33.79,151.27
1173,Sydney,NSW,-33.79,151.27
1174,Sydney,NSW,-33.79,151.27
1175,Sydney,NSW,-33.79,151.27
1176,Sydney,NSW,-33.79,151.27
1177,Sydney,NSW,-33.79,151.27
1178,Sydney,NSW,-33.79,151.27
1179,Sydney,NSW,-33.79,151.27
1180,Sydney,NSW,-33.79,151.27
1181,Sydney,NSW,-33.79,151.27
1182,Sydney,NSW,-33.79,151.27
1183,Sydney,NSW,-33.79,151.27
1184,Sydney,NSW,-33.79,151.27
1185,Sydney,NSW,-33.79,151.27
1186,Sydney,NSW,-33.79,151.27
1187,Sydney,NSW,-33.79,151.27
1188,Sydney,NSW,-33.79,151.27
1189,Sydney,NSW,-33.79,151.27
1190,Sydney,NSW,-33.79,151.27
1191,Sydney,NSW,-33.79,151.27
1192,Sydney,NSW,-34.79,147.69
1193,Sydney,NSW,-33.79,151.27
1194,Sydney,NSW,-33.79,151.27
1195,Sydney,NSW,-33.79,151.27
1196,Sydney,NSW,-33.79,151.27
1197,Sydney,NSW,-33.79,151.27
1198,Sydney,NSW,-33.79,151.27
1199,Sydney,NSW,-33.79,151.27
1200,Sydney,NSW,-33.79,151.27
1201,Sydney,NSW,-33.79,151.27
1202,Sydney,NSW,-33.79,151.27
1203,Sydney,NSW,-33.79,151.27
1204,Sydney,NSW,-33.79,151.27
1205,Sydney,NSW,-33.79,151.27
1206,Sydney,NSW,-33.79,151.27
1207,Sydney,NSW,-33.79,151.27
1208,Haymarket,NSW,-29.82,151.66
1209,Australia Square,NSW,-33.89,151.18
1210,Australia Square,NSW,-33.89,151.18
1211,Australia Square,NSW,-33.89,151.18
1212,Australia Square,NSW,-33.89,151.18
1213,Australia Square,NSW,-33.89,151.18
1214,Australia Square,NSW,-33.89,151.18
1215,Australia Square,NSW,-33.89,151.18
1216,Grosvenor Place,NSW,-33.74,151.03
1217,Grosvenor Place,NSW,-33.74,151.03
1218,Grosvenor Place,NSW,-33.74,151.03
1219,Grosvenor Place,NSW,-33.74,151.03
1220,Grosvenor Place,NSW,-33.74,151.03
1221,Royal Exchange,NSW,-33.87,151.21
1222,Royal Exchange,NSW,-33.87,151.21
1223,Royal Exchange,NSW,-33.87,151.21
1224,Royal Exchange,NSW,-33.87,151.21
1225,Royal Exchange,NSW,-33.87,151.21
1226,Queen Victoria Building,NSW,-33.87,151.21
1227,Queen Victoria Building,NSW,-33.87,151.21
1228,Queen Victoria Building,NSW,-33.87,151.21
1229,Queen Victoria Building,NSW,-33.87,151.21
1230,Queen Victoria Building,NSW,-33.87,151.21
1231,Sydney South,NSW,-33.82,151.04
1232,Sydney South,NSW,-33.82,151.04
1233,Sydney South,NSW,-33.82,151.04
1234,Sydney South,NSW,-33.82,151.04
1235,Sydney South,NSW,-33.82,151.04
1236,Haymarket,NSW,-29.82,151.66
1237,Haymarket,NSW,-29.82,151.66
1238,Haymarket,NSW,-29.82,151.66
1239,Haymarket,NSW,-29.82,151.66
1240,Haymarket,NSW,-29.82,151.66
1291,Sydney,NSW,-33.79,151.27
1292,Sydney,NSW,-33.79,151.27
1293,Sydney,NSW,-33.79,151.27
1294,Sydney,NSW,-33.79,151.27
1295,Sydney,NSW,-33.79,151.27
1296,Sydney,NSW,-33.79,151.27
1297,Sydney,NSW,-33.79,151.27
1298,Sydney,NSW,-33.79,151.27
1299,Sydney,NSW,-33.79,151.27
1300,Darlinghurst,NSW,-33.88,151.22
1311,Eastern Suburbs MC,NSW,0,0
1312,Eastern Suburbs MC,NSW,0,0
1313,Eastern Suburbs MC,NSW,0,0
1314,Eastern Suburbs MC,NSW,0,0
1315,Eastern Suburbs MC,NSW,0,0
1316,Eastern Suburbs MC,NSW,0,0
1317,Eastern Suburbs MC,NSW,0,0
1318,Eastern Suburbs MC,NSW,0,0
1319,Eastern Suburbs MC,NSW,0,0
1320,Eastern Suburbs MC,NSW,0,0
1321,Eastern Suburbs MC,NSW,0,0
1322,Eastern Suburbs MC,NSW,0,0
1323,Eastern Suburbs MC,NSW,0,0
1324,Eastern Suburbs MC,NSW,0,0
1325,Eastern Suburbs MC,NSW,0,0
1326,Eastern Suburbs MC,NSW,0,0
1327,Eastern Suburbs MC,NSW,0,0
1328,Eastern Suburbs MC,NSW,0,0
1329,Eastern Suburbs MC,NSW,0,0
1330,Eastern Suburbs MC,NSW,0,0
1331,Eastern Suburbs MC,NSW,0,0
1332,Eastern Suburbs MC,NSW,0,0
1333,Eastern Suburbs MC,NSW,0,0
1334,Eastern Suburbs MC,NSW,0,0
1335,Potts Point,NSW,-33.82,151.12
1340,Kings Cross,NSW,-35.54,148.02
1350,Woollahra,NSW,0,0
1355,Bondi Junction,NSW,-33.89,151.26
1360,Double Bay,NSW,-33.88,151.24
1391,Ato Activity Statements,NSW,0,0
1401,Broadway,NSW,-33.88,151.2
1416,Southern Suburbs MC,NSW,0,0
1419,Southern Suburbs MC,NSW,0,0
1420,Strawberry Hills,NSW,-33.73,150.93
1422,Strawberry Hills,NSW,-33.73,150.93
1423,Strawberry Hills,NSW,-33.73,150.93
1424,Strawberry Hills,NSW,-33.73,150.93
1425,Strawberry Hills,NSW,-33.73,150.93
1426,Strawberry Hills,NSW,-33.73,150.93
1427,Strawberry Hills,NSW,-33.73,150.93
1428,Strawberry Hills,NSW,-33.73,150.93
1429,Strawberry Hills,NSW,-33.73,150.93
1430,Eveleigh,NSW,-33.89,151.2
1435,Alexandria,NSW,-33.71,151.11
1440,Waterloo,NSW,-33.9,151.06
1441,Waterloo,NSW,-33.9,151.06
1445,Rosebery,NSW,-34.08,151.01
1450,Camperdown,NSW,-30.31,153.14
1455,Botany,NSW,-33.95,151.2
1460,Mascot,NSW,-33.93,151.21
1465,Kensington,NSW,-33.89,151.14
1466,Unsw Sydney,NSW,-33.91,151.23
1470,Drummoyne,NSW,-33.84,151.15
1475,Marrickville,NSW,-33.91,151.15
1476,Marrickville,NSW,-33.91,151.15
1480,Kingsgrove,NSW,-33.94,151.1
1481,Hurstville BC,NSW,0,0
1484,Kingsgrove DC,NSW,0,0
1485,Kogarah,NSW,0,0
1487,Kogarah,NSW,0,0
1490,Miranda,NSW,-34.04,151.11
1493,Hurstville,NSW,-33.98,151.09
1495,Caringbah,NSW,-34.05,151.12
1499,Sutherland,NSW,-34.02,151.06
1515,West Chatswood,NSW,-33.82,151.21
1560,Northbridge,NSW,0,0
1565,Milsons Point,NSW,-33.87,151.19
1570,Artarmon,NSW,-33.81,151.19
1582,Crows Nest,NSW,-33.83,151.2
1585,Crows Nest,NSW,-33.83,151.2
1590,St Leonards,NSW,-33.29,151.47
1595,Lane Cove,NSW,-33.79,151.19
1597,Lane Cove,NSW,-33.79,151.19
1602,Lane Cove DC,NSW,0,0
1608,Lane Cove DC,NSW,0,0
1610,Lane Cove DC,NSW,0,0
1611,Lane Cove DC,NSW,0,0
1630,Hornsby,NSW,-33.71,151.1
1635,Hornsby Westfield,NSW,0,0
1639,Frenchs Forest,NSW,-33.79,151.25
1640,Frenchs Forest,NSW,-33.79,151.25
1655,Manly,NSW,-33.33,151.51
1658,Mona Vale,NSW,-33.7,151.22
1660,Mona Vale,NSW,-33.7,151.22
1670,North Ryde BC,NSW,0,0
1675,Gladesville,NSW,-33.83,151.14
1680,Ryde,NSW,-33.76,151.14
1685,West Ryde,NSW,-33.8,151.09
1690,Northern Suburbs MC,NSW,0,0
1691,Northern Suburbs MC,NSW,0,0
1692,Northern Suburbs MC,NSW,0,0
