Date,Amount,Description,Bank
23/12/2016,-84.19,"RETAIL PURCHASE-INTERNATIONAL KHAADI, KARACHI 2112 PKR000000640000",BENDIGO
10/09/2017,-12.5,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0909 AUD000000001250",BENDIGO
31/08/2016,-60.98,"RETAIL PURCHASE YAN ZHOU, ULTIMO 2808 AUD000000006098",BENDIGO
11/01/2017,-7.5,"RETAIL PURCHASE THE LOCAL MBASSY,IMO NSW 0901 AUD000000000750",BENDIGO
04-09-2017,-39.71,7-ELEVEN 2201 BURWOOD,ANZ
13/11/2015,-709.0,"RETAIL PURCHASE Clarence St Cyclery, Sydney 1211 AUD000000070900",BENDIGO
11/01/2017,-191.87,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *SERVICES,g.co/payhelp# 1001 USD000000014029",BENDIGO
22/07/2017,-1.68,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 19/07/2017,CBA
09/04/2017,-35.0,"RETAIL PURCHASE CLEAN EXPRESS LAUNDE, ULTIMO 0704 AUD000000003500",BENDIGO
28-08-2017,-8.5,QT SYDNEY SYDNEY,ANZ
09/08/2017,-14.9,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 0508 AUD000000001490",BENDIGO
14/09/2017,-39.7,"RETAIL PURCHASE COLES 0839, BROADWAY 1309 AUD000000003970",BENDIGO
07/11/2015,-144.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 0611 AUD000000014400",BENDIGO
08/02/2017,-29.01,"RETAIL PURCHASE ALDI STORES, MANLY 0502 AUD000000002901",BENDIGO
06/05/2016,-27.5,"RETAIL PURCHASE COTTON ON KIDS 2249, RANDWICK 0505 AUD000000002750",BENDIGO
01/11/2016,-124.76,"RETAIL PURCHASE IKEA TEMPE1, TEMPE 3110 AUD000000012476",BENDIGO
2/9/2017,-9.00,OPORTO RESTAURANT HU HURSTVILLE NS AUS Card xx8731 Value Date: 31/08/2017,CBA
21/06/2017,-11.42,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 19/06/2017,CBA
28/02/2016,-60.0,"RETAIL PURCHASE QTIX - INTERNET ,SOUTH BRISBAN 2602 AUD000000006000",BENDIGO
8/6/2017,-4.50,AMAZONICA PTY LIMITE GYMEA  AUS Card xx8731 Value Date: 07/06/2017,CBA
8/8/2017,-12.50,UFF FOODS PTY LTD PRESTONS  AUS Card xx7113 Value Date: 05/08/2017,CBA
25/11/2016,-16.1,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 2411 AUD000000001610",BENDIGO
02/09/2016,-26.5,"RETAIL PURCHASE Opera Bar, Sydney 0109 AUD000000002650",BENDIGO
25/12/2015,-177.0,"RETAIL PURCHASE AIRBNB, AUSTRALIA 2312 AUD000000017700",BENDIGO
18/05/2017,-61.5,"RETAIL PURCHASE CITY OF SYDNEY OBG, SYDNEY 1605 AUD000000006150",BENDIGO
16/05/2017,-10.0,"RETAIL PURCHASE Gozleme King Darling, Sydney 1505 AUD000000001000",BENDIGO
14/11/2015,-44.99,"RETAIL PURCHASE REBEL SYDNEY CITY, SYDNEY 1211 AUD000000004499",BENDIGO
23/07/2017,-24.31,"RETAIL PURCHASE GAINWAY INTERNATI1,CHIPPENDALE 2107 AUD000000002431",BENDIGO
8/9/2017,-11.90,Crafty Cuts Sydney NS AUS Card xx7113 Value Date: 06/09/2017,CBA
23/06/2017,-16.50,ALMA DE JAZMIN P L SYDNEY  AUS Card xx8731 Value Date: 19/06/2017,CBA
09/11/2016,-22.6,"RETAIL PURCHASE WOLESLEY MGT PTY,IMO NSW 0411 AUD000000002260",BENDIGO
29/08/2017,-17.0,"RETAIL PURCHASE ALH GROUP 8570 HARLEQU,PYRMONT 2508 AUD000000001700",BENDIGO
07/05/2016,-30.13,"RETAIL PURCHASE GOGAS CHIPPENDALE, CHIPPENDALE 0605 AUD000000003013",BENDIGO
23/10/2016,-99.0,"RETAIL PURCHASE Dresden Optics, Newtown 2210 AUD000000009900",BENDIGO
27/07/2016,-128.2,"RETAIL PURCHASE POST BROADWAY-RET, GLEBE 2507 AUD000000012820",BENDIGO
15/10/2017,-96.63,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 1410 AUD000000009663",BENDIGO
08/05/2016,-10.5,"RETAIL PURCHASE BEST AND LESS, RANDWICK 0505 AUD000000001050",BENDIGO
29/09/2017,-6.35,INTERNATIONAL TRANSACTION FEE,BENDIGO
17/02/2016,-10.25,"RETAIL PURCHASE MCDONALDS BROADWAY, SYDNEY 1302 AUD000000001025",BENDIGO
26/04/2017,-15.5,"RETAIL PURCHASE MCDONALDS BLIGH ,SOUTH WINDSOR 2104 AUD000000001550",BENDIGO
25/11/2016,-0.61,INTERNATIONAL TRANSACTION FEE,BENDIGO
28/07/2017,-18.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 2607 AUD000000001800",BENDIGO
11/02/2017,-12.0,"RETAIL PURCHASE COLES 0839, BROADWAY 0902 AUD000000001200",BENDIGO
17/06/2017,-9.9,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 1406 AUD000000000990",BENDIGO
01/03/2016,-5.45,"RETAIL PURCHASE ParcelPoint PL, ALEXANDRIA 2902 AUD000000000545",BENDIGO
02/07/2016,-59.99,"RETAIL PURCHASE TPG INTERNET PTY LT,NORTH RYDE 3006 AUD000000005999",BENDIGO
30/08/2016,-37.0,"RETAIL PURCHASE PIOIK BAKERY PTY LTD, PYRMONT 2708 AUD000000003700",BENDIGO
12/02/2016,-69.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 1102 AUD000000006900",BENDIGO
03/11/2016,-24.0,"RETAIL PURCHASE CRUELTY FREE SHOP, GLEBE 0211 AUD000000002400",BENDIGO
09/09/2017,-21.15,"RETAIL PURCHASE COLES 0839, BROADWAY 0809 AUD000000002115",BENDIGO
08/03/2016,-14.97,"RETAIL PURCHASE UBER, SAN FRANCISCO 0503 AUD000000001497",BENDIGO
21/06/2017,-5.0,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 1606 AUD000000000500",BENDIGO
25/06/2017,-87.5,"RETAIL PURCHASE IAN THORPE AQUATIC, ULTIMO 2306 AUD000000008750",BENDIGO
18/01/2017,-100.0,"RETAIL PURCHASE POWERSHOP AUSTRALIA, MELBOURNE 1401 AUD000000010000",BENDIGO
02/06/2016,-4.14,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 0106 USD000000000299",BENDIGO
15/10/2015,-42.26,"RETAIL PURCHASE-INTERNATIONAL TEAM A VENTURES PVT, KARACHI 1210 PKR000000320000",BENDIGO
01/04/2017,-35.1,"RETAIL PURCHASE COLES 0921, KATOOMBA 3103 AUD000000003510",BENDIGO
27/07/2017,-59.99,Direct Debit 142619 TPG Internet DH7R0HIEI0X-03GJKN,CBA
23/10/2015,-70.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 2110 AUD000000007000",BENDIGO
27/09/2017,-430.00,BING LEE HURSTVILLE HURSTVILLE NS AUS Card xx7113 Value Date: 23/09/2017,CBA
30/08/2017,-11.77,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 27/08/2017,CBA
5/7/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 04/07/2017,CBA
25/07/2016,-45.0,ANNUAL FEE,BENDIGO
09/12/2015,-0.3,INTERNATIONAL TRANSACTION FEE,BENDIGO
10/11/2016,-1.55,INTERNATIONAL TRANSACTION FEE,BENDIGO
09/02/2016,-17.2,"RETAIL PURCHASE MANLY FAST FERRY, SYDNEY 0502 AUD000000001720",BENDIGO
3/8/2017,-12.00,CH SQUARED PTY LTD SYDNEY  AUS Card xx7113 Value Date: 02/08/2017,CBA
10/08/2016,-23.7,"RETAIL PURCHASE AROMAS NOOSA, SA HEADS QLD 0508 AUD000000002370",BENDIGO
13/03/2016,-0.52,INTERNATIONAL TRANSACTION FEE,BENDIGO
18/03/2017,-24.16,"RETAIL PURCHASE ALDI STORES, BROADWAY 1503 AUD000000002416",BENDIGO
15/12/2016,-5.81,INTERNATIONAL TRANSACTION FEE,BENDIGO
30/08/2016,-0.12,INTERNATIONAL TRANSACTION FEE,BENDIGO
4/7/2017,-5.00,SQ *BROTHER FOX ESPRES Sutherland NS AUS Card xx7113 Value Date: 01/07/2017,CBA
21/09/2017,-14.68,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 19/09/2017,CBA
9/8/2017,-40.00,TRANSPORT FOR NSW        SYDNEY       AU,CBA
09/05/2017,-13.18,"RETAIL PURCHASE COLES 0728, PYRMONT 0805 AUD000000001318",BENDIGO
20/04/2017,-9.0,"RETAIL PURCHASE UNICAFE, KENSINGTON 1804 AUD000000000900",BENDIGO
13/08/2016,-518.25,"RETAIL PURCHASE-INTERNATIONAL DATAQUEST.IO PREMIU,3012573145 1008 USD000000039900",BENDIGO
16/09/2016,-122.55,"RETAIL PURCHASE ALDI 066, BROADWAY 1409 AUD000000012255",BENDIGO
19/07/2017,-7.00,PRETTY GIRL FASHION MIRANDA NS AUS Card xx8731 Value Date: 15/07/2017,CBA
22/03/2017,-2.0,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 1903 AUD000000000200",BENDIGO
15/09/2017,-400.00,Wdl ATM CBA ATM  SUTHERLAND     NSW 225901   AUS,CBA
30/12/2015,-76.79,"RETAIL PURCHASE WOOLWORTHS 1380, UMINA BEACH 2812 AUD000000007679",BENDIGO
27/11/2015,-97.0,"RETAIL PURCHASE BWS LIQUOR 1636, GLEBE 2611 AUD000000009700",BENDIGO
01/04/2017,-16.5,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 3103 AUD000000001650",BENDIGO
22/08/2017,-57.85,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 18/08/2017,CBA
18/05/2016,-72.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 1605 AUD000000007200",BENDIGO
18/10/2016,-10.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 1610 AUD000000001000",BENDIGO
27/09/2016,-25.8,"RETAIL PURCHASE MENU THAI, GLEBE 2509 AUD000000002580",BENDIGO
13/10/2016,-13.0,"RETAIL PURCHASE ALPHA FLIGHT SER,MOUNT GRAVATT 1110 AUD000000001300",BENDIGO
11/08/2017,-21.52,"RETAIL PURCHASE COLES 08001, RANDWICK 1008 AUD000000002152",BENDIGO
22/05/2016,-8.2,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 1905 AUD000000000820",BENDIGO
10/10/2017,-35.0,"RETAIL PURCHASE Club Sushi, PYRMONT 0810 AUD000000003500",BENDIGO
12/11/2015,-16.07,"RETAIL PURCHASE TAXI COMBINED 133,DARLINGHURST 1011 AUD000000001607",BENDIGO
09/08/2017,-16.6,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 0508 AUD000000001660",BENDIGO
03/01/2016,-14.99,"RETAIL PURCHASE-INTERNATIONAL ADOBE CREATIVE CL,800-833-6687 0201 AUD000000001499",BENDIGO
17/10/2017,-69.95,"RETAIL PURCHASE PATAGONIA AUSTRALIA, SYDNEY 1610 AUD000000006995",BENDIGO
8/8/2017,-6.00,CFFC MIRANDA PTY LTD MIRANDA NS AUS Card xx8731 Value Date: 03/08/2017,CBA
10/8/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 08/08/2017,CBA
12/10/2016,-205.54,"RETAIL PURCHASE Heinemann Duty Free, Mascot 1110 AUD000000020554",BENDIGO
05/04/2016,-7.5,"RETAIL PURCHASE UNIVERSITY OF NSW, KENSINGTON 0404 AUD000000000750",BENDIGO
20/07/2016,-28.09,"RETAIL PURCHASE ALDI 066, BROADWAY 1707 AUD000000002809",BENDIGO
07/06/2016,-70.08,"RETAIL PURCHASE MORRIS AND SONS SYDN, SYDNEY 0506 AUD000000007008",BENDIGO
02/03/2017,-7.5,"RETAIL PURCHASE Brickfields, Chippendale 0103 AUD000000000750",BENDIGO
03/09/2016,-21.2,"RETAIL PURCHASE MORRIS AND SONS SYDN, SYDNEY 0109 AUD000000002120",BENDIGO
23/04/2017,-75.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 2104 AUD000000007500",BENDIGO
12/03/2016,-73.7,"RETAIL PURCHASE GM CABS PTY. LTD., MASCOT 1003 AUD000000007370",BENDIGO
06/06/2017,-17.9,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 0206 AUD000000001790",BENDIGO
22/06/2017,-2.50,TOP JUICE SYD CEN PL SYDNEY  AUS Card xx8731 Value Date: 17/06/2017,CBA
22/06/2016,-49.13,"RETAIL PURCHASE MENULOG PTY LTD, SYDNEY 2106 AUD000000004913",BENDIGO
08/06/2017,-17.9,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 0506 AUD000000001790",BENDIGO
22/12/2015,-20.99,"RETAIL PURCHASE COOGEE BAY HOTEL, COOGEE 2012 AUD000000002099",BENDIGO
30/12/2016,-75.14,"RETAIL PURCHASE-INTERNATIONAL LOTUS LEGGINGS, 336-9449000 2712 USD000000005392",BENDIGO
02/08/2016,-11.65,"RETAIL PURCHASE ULTIMO MINIMARKET QPS, ULTIMO 3107 AUD000000001165",BENDIGO
20/04/2016,-0.39,INTERNATIONAL TRANSACTION FEE,BENDIGO
30/06/2017,-3.50,AMAZONICA PTY LIMITE GYMEA  AUS Card xx8731 Value Date: 29/06/2017,CBA
01/12/2016,-0.32,INTERNATIONAL TRANSACTION FEE,BENDIGO
20/07/2017,-14.44,WOOLWORTHS 1620 SYDNEY  AUS Card xx7113 Value Date: 19/07/2017,CBA
15/05/2016,-294.68,"RETAIL PURCHASE JETSTAR, MELBOURNE 1305 AUD000000029468",BENDIGO
03/03/2016,8.0,"RETAIL PURCHASE RETURN COLES, BROADWAY 0203 AUD000000000800",BENDIGO
01/05/2016,-89.95,"RETAIL PURCHASE BILLYLOU KIDSSHS PL,LEICHHARDT 2804 AUD000000008995",BENDIGO
24/06/2017,-44.9,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 2306 AUD000000004490",BENDIGO
18/05/2017,-31.0,"RETAIL PURCHASE JUST CUTS RANDWICK, RANDWICK 1705 AUD000000003100",BENDIGO
19/01/2017,-8.92,"RETAIL PURCHASE WWW.INGOGO, SYDNEY 1701 AUD000000000892",BENDIGO
20/08/2017,-56.97,"RETAIL PURCHASE LOVISA PTY LTD, BROADWAY 1808 AUD000000005697",BENDIGO
31/08/2017,-12.18,"RETAIL PURCHASE BBC - World Square, Sydney 3008 AUD000000001218",BENDIGO
09/05/2017,-5.3,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0705 AUD000000000530",BENDIGO
28/07/2017,-167.75,ADVANCE DESIGN WYONG  AUS Card xx7113 Value Date: 24/07/2017,CBA
06/01/2016,-298.89,"RETAIL PURCHASE POWERSHOP AUSTRALIA, MELBOURNE 0201 AUD000000029889",BENDIGO
02/02/2016,-18.95,"RETAIL PURCHASE ULTIMO MINIMARKET QPS, ULTIMO 3101 AUD000000001895",BENDIGO
05/02/2016,-11.25,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 0302 AUD000000001125",BENDIGO
10/10/2017,-244.02,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0810 AUD000000024402",BENDIGO
06/01/2016,-0.9,"RETAIL PURCHASE-INTERNATIONAL STICKY9, 44448448543 0401 AUD000000000090",BENDIGO
03/09/2017,-115.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 0209 AUD000000011500",BENDIGO
15/07/2017,-4.40,BAKERS DELIGHT SUTHERL SUTHERLAND NS AUS Card xx8731 Value Date: 12/07/2017,CBA
03/11/2016,-56.41,"RETAIL PURCHASE COLES 0839, BROADWAY 0211 AUD000000005641",BENDIGO
30/09/2016,-5.0,INTERNATIONAL ATM WDL FEE,BENDIGO
11/04/2017,-12.5,"RETAIL PURCHASE JOE AND THE JUICE SY, SYDNEY 0904 AUD000000001250",BENDIGO
13/11/2015,-1018.7,"RETAIL PURCHASE GLEBE VET HOSPIT,BE NSW 1211 AUD000000101870",BENDIGO
26/09/2017,-17.85,LUO & SONG CHICKEN QPS PEAKHURST  AUS Card xx8731 Value Date: 23/09/2017,CBA
27/09/2016,-56.28,"RETAIL PURCHASE Cincotta Chem Glebe, Glebe 2609 AUD000000005628",BENDIGO
02/03/2016,-30.14,"RETAIL PURCHASE COLES, RANDWICK 0103 AUD000000003014",BENDIGO
9/8/2017,-4.00,HOK LAI PTY LTD    QPS HAYMARKET  AUS Card xx8731 Value Date: 08/08/2017,CBA
28/01/2016,-0.06,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *MoonRea1,GOOGLE.COM/CH 2601 AUD000000000006",BENDIGO
24/08/2017,-10.00,CAFE 2232 SUTHERLAND NS AUS Card xx7113 Value Date: 20/08/2017,CBA
30/08/2016,750.0,CREDIT TRANSFER 0109153375 00247011616601,BENDIGO
21/09/2017,-19.90,FORTUNATO & CO P L SUTHERLAND NS AUS Card xx7113 Value Date: 15/09/2017,CBA
23/10/2015,-18.02,"RETAIL PURCHASE ALDI 066, BROADWAY 2110 AUD000000001802",BENDIGO
01/08/2017,-20.0,"RETAIL PURCHASE JUST CUTS RANDWICK, RANDWICK 3107 AUD000000002000",BENDIGO
09/03/2016,-10.0,"RETAIL PURCHASE GASTRONOMY AUSTRALIA, RANDWICK 0403 AUD000000001000",BENDIGO
26/07/2017,-13.00,Happy as Larry Sydney NS AUS Card xx7113 Value Date: 24/07/2017,CBA
17/02/2017,-45.5,"RETAIL PURCHASE QUARRY ST CAFE, ULTIMO 1602 AUD000000004550",BENDIGO
30/05/2017,-13.15,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 2805 AUD000000001315",BENDIGO
22/02/2017,-53.86,"RETAIL PURCHASE COLES 08001, RANDWICK 2102 AUD000000005386",BENDIGO
29/10/2015,-4.14,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Terry C1,GOOGLE.COM/CH 2710 USD000000000299",BENDIGO
03/11/2015,-68.8,"RETAIL PURCHASE TROPICANA CAFE, COOGEE 0111 AUD000000006880",BENDIGO
24/09/2016,-0.51,INTERNATIONAL TRANSACTION FEE,BENDIGO
19/02/2016,-24.0,"RETAIL PURCHASE CITYOFSYDNEYULTIMOCC, ULTIMO 1702 AUD000000002400",BENDIGO
7/9/2017,-59.90,SHOE BOX -MARRICKVILLE MIRANDA  AUS Card xx8731 Value Date: 03/09/2017,CBA
01/03/2017,-19.3,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 2402 AUD000000001930",BENDIGO
29/12/2015,-45.56,"RETAIL PURCHASE COLES EXPRESS 1624,UMINA BEACH 2812 AUD000000004556",BENDIGO
01/11/2015,-46.2,"RETAIL PURCHASE WWW.UBER.COM, MOSMAN NSW 3010 AUD000000004620",BENDIGO
12/09/2017,-28.0,"RETAIL PURCHASE PUB LIFE KITCHEN, ULTIMO 1009 AUD000000002800",BENDIGO
06/03/2016,-133.02,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 0403 AUD000000013302",BENDIGO
21/02/2017,-53.26,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 2002 AUD000000005326",BENDIGO
12/05/2016,-9.9,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 0905 AUD000000000990",BENDIGO
16/09/2017,-13.95,"RETAIL PURCHASE HFM BROADWAY QPS, BROADWAY 1409 AUD000000001395",BENDIGO
17/08/2017,2.77,"RETAIL PURCHASE RETURN AMAZON MKTPLACE PMT,AMAZON.COM 1608 AUD000000000277",BENDIGO
25-09-2017,-8.9,PATEL CONVENIENCE ST ASHFIELD,ANZ
30/08/2016,-5.19,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 2908 USD000000000395",BENDIGO
5/7/2017,-4.95,LA COFFEES PTY LTD SYDNEY NS AUS Card xx8731 Value Date: 03/07/2017,CBA
28/02/2016,-82.8,"RETAIL PURCHASE FRATELLI FRESH PTY L, SYDNEY 2602 AUD000000008280",BENDIGO
22/03/2017,-18.0,"RETAIL PURCHASE COLES 0839, BROADWAY 2103 AUD000000001800",BENDIGO
28-08-2017,-40.0,TRANSPORT FOR NSW-OPAL CHIPPENDALE,ANZ
12/02/2016,-15.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 1002 AUD000000001500",BENDIGO
06/01/2017,-11.0,"RETAIL PURCHASE BROADWAY CELLARS, GLEBE 0501 AUD000000001100",BENDIGO
22/07/2017,-7.0,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 2107 AUD000000000700",BENDIGO
